Name,Weight,L*,a*,b*,deltaL*,deltaa*,deltab*,deltaE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,L*_,a*_,b*_,deltaL*_,deltaa*_,deltab*_,deltaE*ab_,400nm_,410nm_,420nm_,430nm_,440nm_,450nm_,460nm_,470nm_,480nm_,490nm_,500nm_,510nm_,520nm_,530nm_,540nm_,550nm_,560nm_,570nm_,580nm_,590nm_,600nm_,610nm_,620nm_,630nm_,640nm_,650nm_,660nm_,670nm_,680nm_,690nm_,700nm_
In-WB-001-O-SF-3#20220517-A3-20T-3,47,67.5,0,4.36,-1.29,1.14,1.79,2.48,26.29,28.78,30.57,31.82,33.37,34.72,35.33,35.34,35.68,36.03,36.22,36.38,36.52,36.64,36.99,37.23,37.55,37.92,38.35,38.76,39.06,39.27,39.23,38.97,38.12,36.85,34.99,32.57,29.5,26.27,23.25,83.9,-2.41,6.51,4.73,5.07,4.76,8.42,44.33,47.5,50.83,54.16,56.16,57.49,58.48,59.41,60.04,60.54,61.08,61.78,62.53,63.47,64.26,65.16,65.99,66.91,67.74,68,67.59,66.57,64.1,60.31,55.37,49.59,43.29,36.99,31.17,25.6,21.35
In-WB-001-O-SF-3#20220518-A1-20T-3,47,66.62,-0.35,5.63,-2.17,0.79,3.06,3.83,23.69,26.35,28.01,29.54,31.26,32.74,33.39,33.57,34,34.44,34.75,34.99,35.26,35.46,35.85,36.2,36.6,37.06,37.54,37.96,38.21,38.33,38.1,37.5,36.33,34.56,32.13,29.3,25.94,22.7,19.74,82.04,-4.05,7.58,2.87,3.43,5.84,7.35,39.34,42.48,45.96,49.42,51.64,53.17,54.32,55.4,56.21,56.87,57.56,58.42,59.38,60.43,61.35,62.33,63.28,64.17,64.79,64.64,63.66,61.84,58.5,53.79,48.11,41.86,35.39,29.29,24.02,19.3,16.01
In-WB-001-O-SF-3#20220518-A2-20T-3,46,67.81,-0.48,5.01,-0.98,0.66,2.44,2.71,26.34,28.53,30.13,32.26,33.53,34.26,34.92,35.42,35.85,36.15,36.39,36.61,36.96,37.14,37.51,37.85,38.2,38.66,39.08,39.56,39.78,39.86,39.45,38.63,37.14,35.19,32.49,29.58,26.23,23,20.15,84.79,-4.9,6.86,5.62,2.57,5.12,8.02,45.07,48.2,51.6,55.02,57.25,58.7,59.79,60.84,61.59,62.24,63,63.89,64.89,66.06,67.03,68.07,69.07,69.96,70.39,69.83,68.35,65.83,61.66,56.2,49.86,43.29,36.72,30.75,25.7,21.36,18.4
In-WB-001-O-SF-3#20220519-A1-20T-3,46.5,65.91,-0.31,6.65,-2.88,0.82,4.08,5.06,21.47,24.13,26.19,28.51,29.93,30.79,31.57,32.15,32.84,33.3,33.6,33.91,34.28,34.58,34.98,35.27,35.72,36.19,36.71,37.12,37.45,37.6,37.46,36.97,35.87,34.38,32.06,29.58,26.47,23.3,20.36,81.37,-3.55,9.33,2.2,3.93,7.58,8.82,35.95,39.15,42.68,46.35,48.67,50.32,51.62,52.85,53.83,54.69,55.6,56.63,57.71,58.91,59.95,61.05,62.09,63.12,63.83,63.82,63.04,61.46,58.52,54.29,49.11,43.26,37.07,31.08,25.72,20.82,17.18
In-WB-001-O-SF-3#20220519-A2-20T-3,46,64.1,0.69,7.24,-4.69,1.82,4.66,6.86,19.71,22.16,23.89,26.13,27.52,28.34,29.06,29.64,30.23,30.67,31,31.33,31.76,32.04,32.39,32.84,33.27,33.84,34.36,34.99,35.53,35.93,36.07,35.86,35.17,34.06,32.21,30.01,27.17,24.28,21.49,79.9,-1.96,10.47,0.73,5.51,8.73,10.35,32.85,35.92,39.31,42.96,45.3,46.93,48.23,49.46,50.43,51.28,52.19,53.23,54.33,55.58,56.65,57.87,59.06,60.25,61.3,61.71,61.51,60.59,58.31,54.83,50.33,45.05,39.33,33.67,28.51,23.62,19.82
In-WB-001-O-SF-3#20220519-A3-20T-3,46,64.17,0.41,6.59,-4.62,1.55,4.02,6.32,19.23,22.01,24,26.5,28.02,28.89,29.66,30.31,30.84,31.28,31.52,31.77,32.07,32.25,32.57,32.83,33.2,33.61,34.1,34.63,35.12,35.54,35.82,35.88,35.53,34.86,33.47,31.51,28.98,26.01,23.05,79.76,-0.95,9.97,0.58,6.53,8.22,10.51,32.17,35.54,39.33,43.19,45.59,47.26,48.55,49.74,50.66,51.45,52.24,53.12,54.07,55.07,55.97,56.98,58.03,59.16,60.29,61.05,61.36,61.14,59.74,57.13,53.34,48.56,43.08,37.35,31.87,26.49,22.23
In-WB-001-O-SF-3#20220520-A1-20T-3,44.5,66.96,-0.75,6.81,-1.83,0.39,4.24,4.63,21.92,24.85,26.88,29.46,30.97,31.9,32.77,33.56,34.24,34.7,35.04,35.4,35.76,36.01,36.44,36.77,37.12,37.62,38.05,38.45,38.78,38.86,38.68,38.07,36.79,35.04,32.54,29.58,26.09,22.36,19.22,83.12,-4.57,9.52,3.95,2.91,7.77,9.19,36.85,40.38,44.34,48.55,51.26,53.14,54.6,56,57.11,58.09,59.04,60.17,61.37,62.63,63.64,64.68,65.65,66.58,67.17,66.97,65.96,64.12,60.75,55.96,50.13,43.55,36.61,29.99,24.15,18.97,15.21
In-WB-001-O-SF-3#20220520-A2-20T-3,47.5,65.03,-1.31,5.12,-3.76,-0.18,2.55,4.55,22.01,24.62,26.37,28.4,29.97,31.07,31.72,31.95,32.44,32.75,33,33.23,33.53,33.71,34.1,34.41,34.75,35.14,35.48,35.67,35.74,35.54,34.87,33.84,32.36,30.43,27.93,25.32,22.58,19.95,17.62,79.94,-5.83,7.08,0.77,1.65,5.34,5.64,36.37,39.69,43.19,46.66,48.79,50.15,51.2,52.22,52.99,53.7,54.51,55.41,56.43,57.51,58.39,59.23,59.98,60.52,60.58,59.73,58.03,55.55,51.83,47.16,41.97,36.55,31.17,26.24,22.09,18.42,15.83
In-WB-001-O-SF-3#20220521-A1-20T-3,46.5,64.75,-2.31,7.21,-4.04,-1.17,4.64,6.26,20.29,22.74,24.34,26.59,27.92,29.1,30,30.52,31.23,31.78,32.16,32.6,33.13,33.46,33.98,34.43,34.95,35.44,35.71,35.84,35.56,35.01,33.96,32.44,30.47,28.12,25.53,22.92,20.12,17.73,15.82,78.6,-9.35,8.78,-0.57,-1.87,7.03,7.3,32.03,35.12,38.59,42.18,44.58,46.31,47.75,49.17,50.36,51.43,52.58,53.83,55.13,56.44,57.54,58.47,59,59.03,58.28,56.43,53.61,50.09,45.56,40.44,35.17,30.01,25.15,20.88,17.43,14.44,12.39
In-WB-001-O-SF-3#20220521-A2-26T-3,59,64.72,-0.32,5.21,-4.07,0.82,2.63,4.91,23.87,25.59,26.82,28.32,29.62,30.64,31.08,31.18,31.47,31.8,32.01,32.33,32.65,33.01,33.48,33.95,34.5,35.03,35.49,35.82,35.86,35.63,34.98,33.94,32.36,30.58,28.32,26.01,23.67,21.32,19.6,79.85,-5.63,6.83,0.68,1.85,5.08,5.45,39.56,42.21,44.91,47.53,49.11,50.06,50.8,51.58,52.23,52.92,53.8,54.87,56.04,57.32,58.47,59.53,60.35,60.84,60.72,59.59,57.49,54.67,50.83,46.34,41.65,37.08,32.71,28.91,25.86,23.35,21.73
In-WB-001-O-SF-10#20220523-A1-1T-3,3,60.47,1.53,12.18,-8.32,2.67,9.61,12.99,12.73,14.88,16.45,18.5,20.33,21.8,22.8,23.59,24.44,25.18,25.75,26.31,26.9,27.37,27.92,28.49,29.15,29.84,30.6,31.41,32.12,32.8,33.33,33.46,33.1,32.26,30.71,28.7,26.36,23.67,21.49,75.82,-2.21,14.29,-3.35,5.26,12.54,14.01,20.89,24.1,28.11,32.75,35.79,37.95,39.67,41.28,42.59,43.68,44.78,45.96,47.19,48.51,49.69,50.92,52.15,53.4,54.62,55.33,55.3,54.36,51.94,48.5,44.44,40.09,35.71,31.64,28.15,25,22.63
In-WB-001-O-SF-10#20220523-A2-20T-3,79.5,63.97,3.75,9.13,-4.82,4.88,6.56,9.49,21.85,23.01,23.98,25.39,26.33,26.92,27.3,27.57,28.05,28.56,28.95,29.45,30.19,30.78,31.63,32.46,33.34,34.31,35.27,36.2,37.04,37.73,38.2,38.36,38.11,37.52,36.22,34.51,32.02,29.06,26.27,77.81,3.58,14.47,-1.36,11.06,12.72,16.91,31.55,33.44,35.53,37.68,39.07,40.06,40.85,41.74,42.58,43.47,44.59,46,47.69,49.59,51.4,53.35,55.27,57.28,59.2,60.68,61.64,62.09,61.44,59.73,56.96,53.27,48.81,44.03,39.33,34.53,30.49
In-WB-001-O-SF-10#20220524-A1-18T-3,72,57.63,4.26,9.48,-11.16,5.4,6.91,14.19,15.66,16.76,17.71,18.93,19.92,20.48,20.84,21.19,21.67,22.1,22.47,22.83,23.38,23.83,24.39,25.05,25.81,26.62,27.46,28.36,29.27,30.1,30.76,31.27,31.38,31.37,30.69,29.69,28.05,26.02,24.04,68.61,4.44,14.23,-10.56,11.92,12.49,20.24,20.56,22.21,24.17,26.26,27.66,28.71,29.55,30.39,31.13,31.84,32.63,33.57,34.64,35.89,37.12,38.51,39.97,41.6,43.28,44.71,45.88,46.81,46.97,46.37,44.92,42.76,39.98,36.87,33.75,30.52,27.77
In-WB-001-O-SF-10#20220525-A1-28T-3,109,69.8,-1.7,2.68,1.02,-0.56,0.11,1.17,36.28,36.47,36.79,37.92,38.11,38.25,38.63,38.81,39.05,39.32,39.47,39.8,40.2,40.46,40.88,41.22,41.53,41.8,41.92,41.88,41.58,40.9,39.85,38.2,35.88,33.21,30.31,27.75,25.71,24.21,23.28,83.13,-7.1,4.51,3.96,0.37,2.76,4.84,52.42,53.53,54.75,56.03,56.96,57.64,58.16,58.84,59.39,59.99,60.82,61.92,63.1,64.39,65.35,66.19,66.69,66.88,66.49,64.97,62.22,58.39,53.11,47.11,41.45,36.74,33.11,30.65,29.08,27.96,27.44
In-WB-001-O-SF-10#20220526-A1-30T-3,120.5,61.71,0.94,5.67,-7.07,2.08,3.1,8,23.96,24.4,24.52,25.61,26.32,26.62,26.76,26.86,27.17,27.5,27.75,28.2,28.61,29.06,29.63,30.21,30.87,31.55,32.23,32.69,32.93,32.87,32.29,31.18,29.34,27.08,24.46,22,19.93,18.12,16.96,71.79,-3.6,9.05,-7.38,3.88,7.31,11.09,32.01,32.87,33.82,34.78,35.43,35.93,36.37,36.97,37.57,38.25,39.14,40.27,41.53,42.99,44.38,45.77,47.02,48.12,48.74,48.38,46.88,44.28,40.31,35.56,30.85,26.71,23.35,20.81,19.03,17.6,16.66
In-WB-001-O-SF-10#20220526-A2-35T-3,118.5,64.93,-2.04,2.53,-3.86,-0.9,-0.04,3.97,29.97,30.09,30.63,31.48,32.24,32.4,32.47,32.47,32.55,32.81,32.95,33.22,33.65,34.01,34.48,34.89,35.22,35.42,35.43,35.22,34.68,33.88,32.64,31.08,28.98,26.86,24.56,22.47,20.79,19.4,18.53,76.73,-7.97,3.54,-2.44,-0.49,1.79,3.07,43.71,44.83,45.94,46.93,47.52,47.84,48.02,48.39,48.73,49.22,50.02,51.13,52.32,53.54,54.39,54.98,55.18,54.94,54.02,52.13,49.32,45.87,41.51,36.85,32.42,28.7,25.76,23.64,22.24,21.14,20.47
