nm,n,k,wl
623,2.345659457,0.059602415,0.623
624,2.344708512,0.058660026,0.624
625,2.343757573,0.057727644,0.625
626,2.342805254,0.056795254,0.626
627,2.341852871,0.055880057,0.627
628,2.340900483,0.054966226,0.628
629,2.339948098,0.054066698,0.629
630,2.338995716,0.05317143,0.63
631,2.338043332,0.052287575,0.631
632,2.337100942,0.051420857,0.632
633,2.33614856,0.050554146,0.633
634,2.335196172,0.049697429,0.634
635,2.334243787,0.048846358,0.635
636,2.333291401,0.048008201,0.636
637,2.332346257,0.0471728,0.637
638,2.331396631,0.046351888,0.638
639,2.330444241,0.045533727,0.639
640,2.329501859,0.044734001,0.64
641,2.32854947,0.043934399,0.641
642,2.327597085,0.043150343,0.642
643,2.3266547,0.0423693,0.643
644,2.325702312,0.041598255,0.644
645,2.324759929,0.040837215,0.645
646,2.323807768,0.04008594,0.646
647,2.322865157,0.039333457,0.647
648,2.321922769,0.038600969,0.648
649,2.320980384,0.037868484,0.649
650,2.320038002,0.037150001,0.65
651,2.319085618,0.036436074,0.651
652,2.318153229,0.035733257,0.652
653,2.317210847,0.035037889,0.653
654,2.316268457,0.034352514,0.654
655,2.315326073,0.03367393,0.655
656,2.314389029,0.033001772,0.656
657,2.3134513,0.0323403,0.657
658,2.312511373,0.031683487,0.658
659,2.311576527,0.031037685,0.659
660,2.310644145,0.03039943,0.66
661,2.309711755,0.02977117,0.661
662,2.308779372,0.0291496,0.662
663,2.307846985,0.028534657,0.663
664,2.306914598,0.027930199,0.664
665,2.305984571,0.0273305,0.665
666,2.30506074,0.026741712,0.666
667,2.304136915,0.026160572,0.667
668,2.303213083,0.025589427,0.668
669,2.302289256,0.025024871,0.669
670,2.301365431,0.024467144,0.67
671,2.300447903,0.023919702,0.671
672,2.299527772,0.023377115,0.672
673,2.298613946,0.022844531,0.673
674,2.297700114,0.022311942,0.674
675,2.296786288,0.021797287,0.675
676,2.295872457,0.021289743,0.676
677,2.294968629,0.020784272,0.677
678,2.294054801,0.020288801,0.678
679,2.29315097,0.019803328,0.679
680,2.292247859,0.019327858,0.68
681,2.291343312,0.018852385,0.681
682,2.290447315,0.018394743,0.682
683,2.289552042,0.017937828,0.683
684,2.288656771,0.017485857,0.684
685,2.2877615,0.0170475,0.685
686,2.286876226,0.016619142,0.686
687,2.285980958,0.016190786,0.687
688,2.285095682,0.015772427,0.688
689,2.284220414,0.0153618,0.689
690,2.283335146,0.014962001,0.69
691,2.282459873,0.014562201,0.691
692,2.281584601,0.0141758,0.692
693,2.280711289,0.013794558,0.693
694,2.279844056,0.013423314,0.694
695,2.27897786,0.013062073,0.695
696,2.278111143,0.012708457,0.696
697,2.27725443,0.012355772,0.697
698,2.276397715,0.012013086,0.698
699,2.275540999,0.0116804,0.699
700,2.274694287,0.011349572,0.7
701,2.273837984,0.011035028,0.701
702,2.27299983,0.010721315,0.702
703,2.272154141,0.010414714,0.703
704,2.271323514,0.010113057,0.704
705,2.270485356,0.009823571,0.705
706,2.269657198,0.009537999,0.706
707,2.268829043,0.009264186,0.707
708,2.268010882,0.00899717,0.708
709,2.2671916,0.008730157,0.709
710,2.266374575,0.008480572,0.71
711,2.265572401,0.008232115,0.711
712,2.264762801,0.007993658,0.712
713,2.263963202,0.007755201,0.713
714,2.263165257,0.007536743,0.714
715,2.262374217,0.007318287,0.715
716,2.261593171,0.007099828,0.716
717,2.26081213,0.0068987,0.717
718,2.260041086,0.0066988,0.718
719,2.259270043,0.006513343,0.719
720,2.258512001,0.006329,0.72
721,2.257759513,0.006150657,0.721
722,2.25700703,0.005979429,0.722
723,2.256274541,0.005817971,0.723
724,2.255542057,0.005656629,0.724
725,2.254825356,0.005495285,0.725
726,2.254111427,0.005338285,0.726
727,2.2533975,0.0051826,0.727
728,2.252693569,0.005031256,0.728
729,2.251989657,0.004879929,0.729
730,2.251304289,0.004737143,0.73
731,2.250608915,0.004584357,0.731
732,2.24992923,0.004441572,0.732
733,2.249248173,0.004308786,0.733
734,2.2485756,0.004166,0.734
735,2.247908788,0.004033215,0.735
736,2.24724197,0.003900428,0.736
737,2.246585159,0.003767643,0.737
738,2.245928343,0.003641886,0.738
739,2.245277115,0.003517657,0.739
740,2.244628857,0.003393429,0.74
741,2.243987899,0.0032792,0.741
742,2.243351087,0.003154972,0.742
743,2.242714084,0.003040742,0.743
744,2.242085829,0.002926514,0.744
745,2.24145757,0.002822285,0.745
746,2.240829313,0.002708057,0.746
747,2.240211056,0.002603828,0.747
748,2.239595398,0.0024996,0.748
749,2.2389857,0.002396529,0.749
750,2.238376003,0.002300858,0.75
751,2.2377763,0.002205186,0.751
752,2.237176602,0.002109515,0.752
753,2.236576901,0.002013843,0.753
754,2.235987201,0.001928172,0.754
755,2.235397501,0.0018325,0.755
756,2.234808857,0.001746828,0.756
757,2.234227716,0.001671157,0.757
758,2.233646571,0.001585486,0.758
759,2.233075429,0.001509814,0.759
760,2.232504286,0.001429429,0.76
761,2.231933142,0.001358471,0.761
762,2.231372,0.0012828,0.762
763,2.230810856,0.001208086,0.763
764,2.230249715,0.001141457,0.764
765,2.229696641,0.001075785,0.765
766,2.229144057,0.001016743,0.766
767,2.22860147,0.000949628,0.767
768,2.228048884,0.000892514,0.768
769,2.2275163,0.0008354,0.769
770,2.226973712,0.000778285,0.77
771,2.226441129,0.000721171,0.771
772,2.225908545,0.000672029,0.772
773,2.225382486,0.000616943,0.773
774,2.224858458,0.000569829,0.774
775,2.22433443,0.000526357,0.775
776,2.2238204,0.0004856,0.776
777,2.223306373,0.000439243,0.777
778,2.222792342,0.000400686,0.778
779,2.222288315,0.000362129,0.779
780,2.221784285,0.000323571,0.78
781,2.221285243,0.000295014,0.781
782,2.220789772,0.000256457,0.782
783,2.220294299,0.0002279,0.783
784,2.219798829,0.000199343,0.784
785,2.219313356,0.00018,0.785
786,2.218827886,0.000152229,0.786
787,2.218352413,0.00013,0.787
788,2.217876942,0.000105114,0.788
789,2.217401471,8.66E-05,0.789
