nm,n,k,wl
453.772552,1.840048,2.365371,0.453772552
454.529755,1.844144,2.368652,0.454529755
455.286896,1.848233,2.371909,0.455286896
456.043976,1.852314,2.375143,0.456043976
456.801025,1.856387,2.378354,0.456801025
457.557983,1.860453,2.381541,0.457557983
458.314911,1.86451,2.384707,0.458314911
459.071777,1.86856,2.38785,0.459071777
459.828583,1.872602,2.390971,0.459828583
460.585358,1.876636,2.39407,0.460585358
461.342041,1.880661,2.397148,0.461342041
462.098694,1.884678,2.400204,0.462098694
462.855255,1.888687,2.403238,0.462855255
463.611786,1.892687,2.406252,0.463611786
464.368256,1.896679,2.409245,0.464368256
465.124695,1.900663,2.412218,0.465124695
465.881042,1.904638,2.41517,0.465881042
466.63736,1.908605,2.418102,0.46663736
467.393616,1.912562,2.421014,0.467393616
468.149811,1.916511,2.423906,0.468149811
468.905945,1.920452,2.426779,0.468905945
469.662018,1.924383,2.429632,0.469662018
470.41806,1.928306,2.432467,0.47041806
471.174042,1.932219,2.435282,0.471174042
471.929932,1.936124,2.438079,0.471929932
472.685822,1.94002,2.440857,0.472685822
473.44162,1.943906,2.443617,0.47344162
474.197357,1.947784,2.446359,0.474197357
474.953064,1.951652,2.449083,0.474953064
475.70871,1.955512,2.451789,0.47570871
476.464294,1.959362,2.454478,0.476464294
477.219818,1.963202,2.457149,0.477219818
477.975281,1.967034,2.459803,0.477975281
478.730713,1.970856,2.46244,0.478730713
479.486084,1.97467,2.465061,0.479486084
480.241394,1.978473,2.467665,0.480241394
480.996643,1.982268,2.470252,0.480996643
481.751831,1.986053,2.472823,0.481751831
482.506989,1.989828,2.475378,0.482506989
483.262085,1.993594,2.477917,0.483262085
484.01712,1.997351,2.48044,0.48401712
484.772095,2.001098,2.482948,0.484772095
485.527008,2.004836,2.485441,0.485527008
486.281891,2.008564,2.487918,0.486281891
487.036713,2.012283,2.49038,0.487036713
487.791473,2.015992,2.492827,0.487791473
488.546173,2.019692,2.49526,0.488546173
489.300812,2.023382,2.497678,0.489300812
490.05542,2.027063,2.500082,0.49005542
490.809967,2.030734,2.502471,0.490809967
491.564453,2.034395,2.504847,0.491564453
492.318878,2.038047,2.507208,0.492318878
493.073242,2.041689,2.509556,0.493073242
493.827576,2.045322,2.51189,0.493827576
494.581848,2.048945,2.514211,0.494581848
495.33606,2.052558,2.516519,0.49533606
496.09021,2.056162,2.518813,0.49609021
