nm,n,k,wl
609.02655,3.389258,2.72703,0.60902655
610.616272,3.392959,2.726676,0.610616272
612.205933,3.396634,2.726377,0.612205933
613.795532,3.400287,2.726132,0.613795532
615.385193,3.403921,2.72594,0.615385193
616.974731,3.407538,2.725802,0.616974731
618.564331,3.411142,2.725718,0.618564331
620.15387,3.414734,2.725686,0.62015387
621.743347,3.418318,2.725707,0.621743347
623.332825,3.421897,2.725779,0.623332825
624.922241,3.425473,2.725902,0.624922241
626.511597,3.42905,2.726075,0.626511597
628.100952,3.43263,2.726297,0.628100952
629.690308,3.436217,2.726567,0.629690308
631.279602,3.439815,2.726883,0.631279602
632.868835,3.443427,2.727244,0.632868835
634.458069,3.447058,2.727647,0.634458069
636.047241,3.450711,2.728086,0.636047241
637.636353,3.454387,2.728556,0.637636353
639.225464,3.458088,2.729054,0.639225464
640.814575,3.461813,2.729576,0.640814575
642.403625,3.465563,2.730118,0.642403625
643.992615,3.469337,2.730677,0.643992615
645.581604,3.473135,2.73125,0.645581604
647.170532,3.476956,2.731834,0.647170532
648.759399,3.480801,2.732428,0.648759399
650.348267,3.484668,2.733028,0.650348267
651.937134,3.488557,2.733632,0.651937134
653.525879,3.492467,2.734238,0.653525879
655.114624,3.496397,2.734844,0.655114624
656.703308,3.500345,2.735448,0.656703308
658.291992,3.504313,2.736049,0.658291992
659.880615,3.508297,2.736644,0.659880615
661.469177,3.512297,2.737232,0.661469177
663.057739,3.516313,2.737813,0.663057739
664.64624,3.520342,2.738383,0.66464624
666.234741,3.524384,2.738942,0.666234741
667.82312,3.528439,2.73949,0.66782312
669.411499,3.532504,2.740024,0.669411499
670.999878,3.536578,2.740543,0.670999878
672.588135,3.540661,2.741047,0.672588135
674.176392,3.544752,2.741535,0.674176392
675.764587,3.548848,2.742006,0.675764587
677.352783,3.552949,2.74246,0.677352783
678.940918,3.557054,2.742894,0.678940918
680.528992,3.561161,2.743309,0.680528992
682.117065,3.565269,2.743705,0.682117065
683.705017,3.569378,2.744079,0.683705017
685.292969,3.573485,2.744433,0.685292969
686.88092,3.57759,2.744766,0.68688092
688.46875,3.581691,2.745077,0.68846875
690.056519,3.585787,2.745366,0.690056519
691.644348,3.589877,2.745633,0.691644348
693.232056,3.593959,2.745877,0.693232056
694.819702,3.598032,2.746099,0.694819702
696.407349,3.602095,2.746297,0.696407349
697.994934,3.606147,2.746473,0.697994934
699.582458,3.610185,2.746626,0.699582458
701.169983,3.61421,2.746756,0.701169983
702.757446,3.618218,2.746864,0.702757446
704.344849,3.622209,2.746949,0.704344849
705.932129,3.626181,2.747012,0.705932129
707.519409,3.630131,2.747054,0.707519409
709.106689,3.634058,2.747077,0.709106689
710.693909,3.637962,2.747081,0.710693909
